danh_muc,ten_mon,gia,don_vi,thu_tu,ghi_chu
CÀ PHÊ BỘT HẠT,Cà phê Toda 1 (1kg),220000,Túi,2,Mạnh Mẽ - bậc 1kg trên tờ rơi B2B
CÀ PHÊ BỘT HẠT,Cà phê Toda 1 (sỉ từ 10kg - đ/kg),190000,Kg,4,"Số lượng = số kg. 10kg = 1.900.000đ"
CÀ PHÊ BỘT HẠT,Cà phê Toda 2 (250g),60000,Túi,5,Đậm Nhẹ - hệ cũ phải gõ tay
CÀ PHÊ BỘT HẠT,Cà phê Toda 2 (1kg),240000,Túi,7,Đậm Nhẹ - bậc 1kg trên tờ rơi B2B
CÀ PHÊ BỘT HẠT,Cà phê Toda 2 (3kg),690000,Đơn,8,Đậm Nhẹ - bậc 3kg trên tờ rơi B2B
CÀ PHÊ BỘT HẠT,Cà phê Toda 2 (sỉ từ 10kg - đ/kg),210000,Kg,9,"Số lượng = số kg. 10kg = 2.100.000đ"
CÀ PHÊ BỘT HẠT,Cà phê Toda 3 (250g),65000,Túi,10,Cân Bằng - hệ cũ phải gõ tay
CÀ PHÊ BỘT HẠT,Cà phê Toda 3 (1kg),260000,Túi,12,Cân Bằng - bậc 1kg trên tờ rơi B2B
CÀ PHÊ BỘT HẠT,Cà phê Toda 3 (3kg),750000,Đơn,13,Cân Bằng - bậc 3kg trên tờ rơi B2B
CÀ PHÊ BỘT HẠT,Cà phê Toda 3 (sỉ từ 10kg - đ/kg),230000,Kg,14,"Số lượng = số kg. 10kg = 2.300.000đ"
CÀ PHÊ BỘT HẠT,Cà phê Toda 4 (250g),75000,Túi,15,Ngọt Ngào - hệ cũ phải gõ tay
CÀ PHÊ BỘT HẠT,Cà phê Toda 4 (1kg),300000,Túi,17,Ngọt Ngào - bậc 1kg trên tờ rơi B2B
CÀ PHÊ BỘT HẠT,Cà phê Toda 4 (3kg),870000,Đơn,18,Ngọt Ngào - bậc 3kg trên tờ rơi B2B
CÀ PHÊ BỘT HẠT,Cà phê Toda 4 (sỉ từ 10kg - đ/kg),270000,Kg,19,"Số lượng = số kg. 10kg = 2.700.000đ"
